"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Life.nlogo"
"2DLifeDensityWideSweep (wrapping OFF)"
"04/25/2025 14:21:55:061 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","initial-density","wrap?","[step]","count patches with [living?] / count patches"
"5","5","false","27","0.00235271051857661"
"6","5","false","27","0.002058621703754534"
"1","5","false","31","0.00421527301244976"
"4","5","false","27","0.0017645328889324577"
"2","5","false","21","0.005293598666797373"
"3","5","false","24","0.003921184197627684"
"5","5","false","28","0.00235271051857661"
"6","5","false","28","0.002058621703754534"
"5","5","false","29","0.00235271051857661"
"3","5","false","25","0.003921184197627684"
"6","5","false","29","0.002058621703754534"
"5","5","false","30","0.00235271051857661"
"2","5","false","22","0.005293598666797373"
"3","5","false","26","0.003921184197627684"
"5","5","false","31","0.00235271051857661"
"6","5","false","30","0.002058621703754534"
"5","5","false","32","0.00235271051857661"
"2","5","false","23","0.005293598666797373"
"6","5","false","31","0.002058621703754534"
"3","5","false","27","0.003921184197627684"
"5","5","false","33","0.00235271051857661"
"6","5","false","32","0.002058621703754534"
"2","5","false","24","0.005293598666797373"
"3","5","false","28","0.003921184197627684"
"6","5","false","33","0.002058621703754534"
"5","5","false","34","0.00235271051857661"
"2","5","false","25","0.005293598666797373"
"3","5","false","29","0.003921184197627684"
"5","5","false","35","0.00235271051857661"
"3","5","false","30","0.003921184197627684"
"5","5","false","36","0.00235271051857661"
"3","5","false","31","0.003921184197627684"
"5","5","false","37","0.00235271051857661"
"3","5","false","32","0.003921184197627684"
"4","5","false","28","0.0017645328889324577"
"1","5","false","32","0.00421527301244976"
"5","5","false","38","0.00235271051857661"
"3","5","false","33","0.003921184197627684"
"5","5","false","39","0.00235271051857661"
"4","5","false","29","0.0017645328889324577"
"1","5","false","33","0.00421527301244976"
"3","5","false","34","0.003921184197627684"
"5","5","false","40","0.00235271051857661"
"1","5","false","34","0.00421527301244976"
"4","5","false","30","0.0017645328889324577"
"3","5","false","35","0.003921184197627684"
"5","5","false","41","0.00235271051857661"
"1","5","false","35","0.00421527301244976"
"4","5","false","31","0.0017645328889324577"
"3","5","false","36","0.003921184197627684"
"5","5","false","42","0.00235271051857661"
"4","5","false","32","0.0017645328889324577"
"1","5","false","36","0.00421527301244976"
"5","5","false","43","0.00235271051857661"
"3","5","false","37","0.003921184197627684"
"5","5","false","44","0.00235271051857661"
"1","5","false","37","0.00421527301244976"
"4","5","false","33","0.0017645328889324577"
"3","5","false","38","0.003921184197627684"
"1","5","false","38","0.00421527301244976"
"5","5","false","45","0.00235271051857661"
"3","5","false","39","0.003921184197627684"
"4","5","false","34","0.0017645328889324577"
"1","5","false","39","0.00421527301244976"
"3","5","false","40","0.003921184197627684"
"5","5","false","46","0.00235271051857661"
"4","5","false","35","0.0017645328889324577"
"1","5","false","40","0.00421527301244976"
"3","5","false","41","0.003921184197627684"
"5","5","false","47","0.00235271051857661"
"4","5","false","36","0.0017645328889324577"
"3","5","false","42","0.003921184197627684"
"1","5","false","41","0.00421527301244976"
"5","5","false","48","0.00235271051857661"
"4","5","false","37","0.0017645328889324577"
"6","5","false","34","0.002058621703754534"
"2","5","false","26","0.005293598666797373"
"3","5","false","43","0.003921184197627684"
"1","5","false","42","0.00421527301244976"
"5","5","false","49","0.00235271051857661"
"4","5","false","38","0.0017645328889324577"
"6","5","false","35","0.002058621703754534"
"1","5","false","43","0.00421527301244976"
"3","5","false","44","0.003921184197627684"
"5","5","false","50","0.00235271051857661"
"4","5","false","39","0.0017645328889324577"
"6","5","false","36","0.002058621703754534"
"2","5","false","27","0.005293598666797373"
"1","5","false","44","0.00421527301244976"
"3","5","false","45","0.003921184197627684"
"4","5","false","40","0.0017645328889324577"
"5","5","false","51","0.00235271051857661"
"6","5","false","37","0.002058621703754534"
"6","5","false","38","0.002058621703754534"
"2","5","false","28","0.005293598666797373"
"5","5","false","52","0.00235271051857661"
"1","5","false","45","0.00421527301244976"
"4","5","false","41","0.0017645328889324577"
"3","5","false","46","0.003921184197627684"
"6","5","false","39","0.002058621703754534"
"5","5","false","53","0.00235271051857661"
"2","5","false","29","0.005293598666797373"
"4","5","false","42","0.0017645328889324577"
"3","5","false","47","0.003921184197627684"
"1","5","false","46","0.00421527301244976"
"1","5","false","47","0.00421527301244976"
"6","5","false","40","0.002058621703754534"
"4","5","false","43","0.0017645328889324577"
"5","5","false","54","0.00235271051857661"
"3","5","false","48","0.003921184197627684"
"6","5","false","41","0.002058621703754534"
"4","5","false","44","0.0017645328889324577"
"2","5","false","30","0.005293598666797373"
"1","5","false","48","0.00421527301244976"
"3","5","false","49","0.003921184197627684"
"5","5","false","55","0.00235271051857661"
"6","5","false","42","0.002058621703754534"
"4","5","false","45","0.0017645328889324577"
"5","5","false","56","0.00235271051857661"
"3","5","false","50","0.003921184197627684"
"6","5","false","43","0.002058621703754534"
"4","5","false","46","0.0017645328889324577"
"5","5","false","57","0.00235271051857661"
"6","5","false","44","0.002058621703754534"
"1","5","false","49","0.00421527301244976"
"5","5","false","58","0.00235271051857661"
"3","5","false","51","0.003921184197627684"
"6","5","false","45","0.002058621703754534"
"2","5","false","31","0.005293598666797373"
"1","5","false","50","0.00421527301244976"
"4","5","false","47","0.0017645328889324577"
"1","5","false","51","0.00421527301244976"
"5","5","false","59","0.00235271051857661"
"6","5","false","46","0.002058621703754534"
"2","5","false","32","0.005293598666797373"
"3","5","false","52","0.003921184197627684"
"4","5","false","48","0.0017645328889324577"
"1","5","false","52","0.00421527301244976"
"6","5","false","47","0.002058621703754534"
"5","5","false","60","0.00235271051857661"
"5","5","false","61","0.00235271051857661"
"3","5","false","53","0.003921184197627684"
"1","5","false","53","0.00421527301244976"
"4","5","false","49","0.0017645328889324577"
"6","5","false","48","0.002058621703754534"
"5","5","false","62","0.00235271051857661"
"3","5","false","54","0.003921184197627684"
"6","5","false","49","0.002058621703754534"
"1","5","false","54","0.00421527301244976"
"4","5","false","50","0.0017645328889324577"
"3","5","false","55","0.003921184197627684"
"6","5","false","50","0.002058621703754534"
"5","5","false","63","0.00235271051857661"
"6","5","false","51","0.002058621703754534"
"4","5","false","51","0.0017645328889324577"
"1","5","false","55","0.00421527301244976"
"3","5","false","56","0.003921184197627684"
"5","5","false","64","0.00235271051857661"
"6","5","false","52","0.002058621703754534"
"4","5","false","52","0.0017645328889324577"
"1","5","false","56","0.00421527301244976"
"6","5","false","53","0.002058621703754534"
"5","5","false","65","0.00235271051857661"
"3","5","false","57","0.003921184197627684"
"6","5","false","54","0.002058621703754534"
"4","5","false","53","0.0017645328889324577"
"5","5","false","66","0.00235271051857661"
"1","5","false","57","0.00421527301244976"
"3","5","false","58","0.003921184197627684"
"6","5","false","55","0.002058621703754534"
"5","5","false","67","0.00235271051857661"
"1","5","false","58","0.00421527301244976"
"4","5","false","54","0.0017645328889324577"
"3","5","false","59","0.003921184197627684"
"5","5","false","68","0.00235271051857661"
"6","5","false","56","0.002058621703754534"
"3","5","false","60","0.003921184197627684"
"4","5","false","55","0.0017645328889324577"
"5","5","false","69","0.00235271051857661"
"1","5","false","59","0.00421527301244976"
"6","5","false","57","0.002058621703754534"
"4","5","false","56","0.0017645328889324577"
"3","5","false","61","0.003921184197627684"
"6","5","false","58","0.002058621703754534"
"5","5","false","70","0.00235271051857661"
"1","5","false","60","0.00421527301244976"
"4","5","false","57","0.0017645328889324577"
"3","5","false","62","0.003921184197627684"
"6","5","false","59","0.002058621703754534"
"5","5","false","71","0.00235271051857661"
"1","5","false","61","0.00421527301244976"
"3","5","false","63","0.003921184197627684"
