"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping OFF)"
"04/25/2025 14:17:34:557 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"run","initial-density","wrap","update-1d","step","density"
"1","5","false","false","19","0.002499279054119004"
"2","5","false","false","23","0.007882341632221474"
"4","5","false","false","30","0.004614053638373546"
"3","5","false","false","21","0.005479188695568586"
"5","5","false","false","19","0.004710179755839662"
"1","5","false","false","20","0.002499279054119004"
"6","5","false","false","32","0.008939728924348746"
"3","5","false","false","22","0.005094684225704124"
"4","5","false","false","31","0.004614053638373546"
"2","5","false","false","24","0.008459098337018169"
"5","5","false","false","20","0.004710179755839662"
"1","5","false","false","21","0.002499279054119004"
"6","5","false","false","33","0.008170719984619821"
"3","5","false","false","23","0.004325675285975199"
"4","5","false","false","32","0.004614053638373546"
"5","5","false","false","21","0.004710179755839662"
"1","5","false","false","22","0.002499279054119004"
"4","5","false","false","33","0.004614053638373546"
"2","5","false","false","25","0.009516485629145439"
"6","5","false","false","34","0.008651350571950399"
"3","5","false","false","24","0.004517927520907431"
"5","5","false","false","22","0.004710179755839662"
"4","5","false","false","34","0.004614053638373546"
"6","5","false","false","35","0.008170719984619821"
"3","5","false","false","25","0.004229549168509084"
"1","5","false","false","23","0.002499279054119004"
"5","5","false","false","23","0.004710179755839662"
"2","5","false","false","26","0.009900990099009901"
"6","5","false","false","36","0.008074593867153706"
"3","5","false","false","26","0.004421801403441315"
"4","5","false","false","35","0.004614053638373546"
"5","5","false","false","24","0.004710179755839662"
"2","5","false","false","27","0.010477746803806594"
"1","5","false","false","24","0.002499279054119004"
"6","5","false","false","37","0.008074593867153706"
"3","5","false","false","27","0.003941170816110737"
"5","5","false","false","25","0.004710179755839662"
"4","5","false","false","36","0.004614053638373546"
"1","5","false","false","25","0.002499279054119004"
"6","5","false","false","38","0.008170719984619821"
"2","5","false","false","28","0.011150629626069403"
"5","5","false","false","26","0.004710179755839662"
"1","5","false","false","26","0.002499279054119004"
"2","5","false","false","29","0.012592521388061136"
"2","5","false","false","30","0.013073151975391713"
"2","5","false","false","31","0.013938287032586753"
"2","5","false","false","32","0.013073151975391713"
"2","5","false","false","33","0.01441891761991733"
"2","5","false","false","34","0.01403441315005287"
"2","5","false","false","35","0.016629818321637988"
"4","5","false","false","37","0.004614053638373546"
"6","5","false","false","39","0.008170719984619821"
"3","5","false","false","28","0.004421801403441315"
"2","5","false","false","36","0.015380178794578488"
"4","5","false","false","38","0.004614053638373546"
"6","5","false","false","40","0.008459098337018169"
"2","5","false","false","37","0.01682207055657022"
"5","5","false","false","27","0.004710179755839662"
"3","5","false","false","29","0.004421801403441315"
"1","5","false","false","27","0.002499279054119004"
"6","5","false","false","41","0.008555224454484284"
"4","5","false","false","39","0.004614053638373546"
"2","5","false","false","38","0.016245313851773528"
"3","5","false","false","30","0.003941170816110737"
"1","5","false","false","28","0.002499279054119004"
"4","5","false","false","40","0.004614053638373546"
"6","5","false","false","42","0.008362972219552052"
"2","5","false","false","39","0.017783331731231377"
"3","5","false","false","31","0.004517927520907431"
