"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Life.nlogo"
"2DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:47:25:495 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"run","initial-density","wrap","step","density"
"4","5","true","0","0.04626997353200667"
"5","5","true","0","0.046760121556710124"
"1","5","true","0","0.04519164787765905"
"3","5","true","0","0.05028918733457504"
"2","5","true","0","0.047348299186354276"
"6","5","true","0","0.047544358396235664"
"5","5","true","1","0.005391628271738065"
"2","5","true","1","0.008332516419958828"
"1","5","true","1","0.0068620723458484465"
"4","5","true","1","0.007548279580433291"
"6","5","true","1","0.00656798353102637"
"3","5","true","1","0.0068620723458484465"
"2","5","true","2","0.005391628271738065"
"6","5","true","2","0.003921184197627684"
"5","5","true","2","0.0027448289383393784"
"1","5","true","2","0.004117243407509068"
"4","5","true","2","0.0046073914322125285"
"3","5","true","2","0.00421527301244976"
"6","5","true","3","0.004117243407509068"
"5","5","true","3","0.002450740123517302"
"2","5","true","3","0.004803450642093913"
"3","5","true","3","0.0038231545926869915"
"1","5","true","3","0.00421527301244976"
"6","5","true","4","0.004117243407509068"
"4","5","true","3","0.00421527301244976"
"1","5","true","4","0.004019213802568375"
"6","5","true","5","0.004019213802568375"
"4","5","true","4","0.00421527301244976"
"2","5","true","4","0.0036270953828056074"
"3","5","true","4","0.004019213802568375"
"4","5","true","5","0.004019213802568375"
"3","5","true","5","0.0037251249877462995"
"2","5","true","5","0.0038231545926869915"
"1","5","true","5","0.003921184197627684"
"5","5","true","4","0.002450740123517302"
"6","5","true","6","0.0038231545926869915"
"2","5","true","6","0.0038231545926869915"
"5","5","true","5","0.002254680913635918"
"3","5","true","6","0.0038231545926869915"
"1","5","true","6","0.004117243407509068"
"4","5","true","6","0.004411332222331144"
"6","5","true","7","0.0038231545926869915"
"2","5","true","7","0.004117243407509068"
"5","5","true","6","0.00235271051857661"
"6","5","true","8","0.0038231545926869915"
"1","5","true","7","0.004117243407509068"
"3","5","true","7","0.0036270953828056074"
"4","5","true","7","0.004509361827271836"
"6","5","true","9","0.0038231545926869915"
"2","5","true","8","0.004117243407509068"
"4","5","true","8","0.005489657876678757"
"3","5","true","8","0.004019213802568375"
"1","5","true","8","0.004901480247034604"
"5","5","true","7","0.0026467993333986863"
"4","5","true","9","0.0046073914322125285"
"2","5","true","9","0.0046073914322125285"
"6","5","true","10","0.0038231545926869915"
"3","5","true","9","0.0031369473581021466"
"4","5","true","10","0.0050975394569159884"
"1","5","true","9","0.004117243407509068"
"5","5","true","8","0.0025487697284579942"
"3","5","true","10","0.0029408881482207625"
"4","5","true","11","0.004999509851975297"
"2","5","true","10","0.004313302617390452"
"1","5","true","10","0.004117243407509068"
"5","5","true","9","0.003234976963042839"
"4","5","true","12","0.005783746691500833"
"3","5","true","11","0.0029408881482207625"
"2","5","true","11","0.0050975394569159884"
"1","5","true","11","0.004117243407509068"
"4","5","true","13","0.005489657876678757"
"2","5","true","12","0.00470542103715322"
"5","5","true","10","0.0025487697284579942"
"3","5","true","12","0.0029408881482207625"
"1","5","true","12","0.004117243407509068"
"4","5","true","14","0.006175865111263602"
"2","5","true","13","0.00470542103715322"
"5","5","true","11","0.0025487697284579942"
"1","5","true","13","0.004117243407509068"
"4","5","true","15","0.006469953926085678"
"2","5","true","14","0.004411332222331144"
"3","5","true","13","0.0029408881482207625"
"6","5","true","11","0.0038231545926869915"
"5","5","true","12","0.002450740123517302"
"1","5","true","14","0.004117243407509068"
"4","5","true","16","0.007646309185373983"
"3","5","true","14","0.0029408881482207625"
"1","5","true","15","0.004117243407509068"
"2","5","true","15","0.004803450642093913"
"6","5","true","12","0.0038231545926869915"
"3","5","true","15","0.0029408881482207625"
"4","5","true","17","0.006469953926085678"
"1","5","true","16","0.004117243407509068"
"5","5","true","13","0.0027448289383393784"
"6","5","true","13","0.0038231545926869915"
"2","5","true","16","0.0046073914322125285"
"3","5","true","16","0.0029408881482207625"
"4","5","true","18","0.0073522203705519065"
"1","5","true","17","0.004117243407509068"
"6","5","true","14","0.0038231545926869915"
"2","5","true","17","0.005195569061856681"
"1","5","true","18","0.004117243407509068"
"3","5","true","17","0.0029408881482207625"
"5","5","true","14","0.0030389177531614546"
"4","5","true","19","0.007156161160670522"
"6","5","true","15","0.0038231545926869915"
"2","5","true","18","0.0050975394569159884"
"1","5","true","19","0.004117243407509068"
"3","5","true","18","0.0029408881482207625"
"2","5","true","19","0.00470542103715322"
"1","5","true","20","0.004117243407509068"
"4","5","true","20","0.008234486815018136"
"6","5","true","16","0.0038231545926869915"
"2","5","true","20","0.004411332222331144"
"1","5","true","21","0.004117243407509068"
"3","5","true","19","0.0029408881482207625"
"4","5","true","21","0.00803842760513675"
"5","5","true","15","0.003333006567983531"
"6","5","true","17","0.0038231545926869915"
"3","5","true","20","0.0029408881482207625"
"2","5","true","21","0.0046073914322125285"
"4","5","true","22","0.008822664444662289"
"1","5","true","22","0.004117243407509068"
"2","5","true","22","0.004411332222331144"
"2","5","true","23","0.0046073914322125285"
"2","5","true","24","0.00470542103715322"
"2","5","true","25","0.005489657876678757"
"2","5","true","26","0.004313302617390452"
"2","5","true","27","0.004019213802568375"
"2","5","true","28","0.0037251249877462995"
"2","5","true","29","0.0036270953828056074"
"2","5","true","30","0.0035290657778649153"
"2","5","true","31","0.003333006567983531"
"2","5","true","32","0.003234976963042839"
"2","5","true","33","0.0030389177531614546"
"2","5","true","34","0.0030389177531614546"
"2","5","true","35","0.0030389177531614546"
"2","5","true","36","0.0030389177531614546"
"2","5","true","37","0.0030389177531614546"
"2","5","true","38","0.0030389177531614546"
"2","5","true","39","0.0030389177531614546"
"2","5","true","40","0.0030389177531614546"
"2","5","true","41","0.0030389177531614546"
"2","5","true","42","0.0030389177531614546"
"2","5","true","43","0.0030389177531614546"
"2","5","true","44","0.0030389177531614546"
"2","5","true","45","0.0030389177531614546"
"2","5","true","46","0.0030389177531614546"
"2","5","true","47","0.0030389177531614546"
"2","5","true","48","0.0030389177531614546"
"2","5","true","49","0.0030389177531614546"
"1","5","true","23","0.004117243407509068"
"4","5","true","23","0.009018723654543672"
"3","5","true","21","0.0029408881482207625"
"6","5","true","18","0.0038231545926869915"
"2","5","true","50","0.0030389177531614546"
"5","5","true","16","0.003333006567983531"
"4","5","true","24","0.009508871679247133"
"1","5","true","24","0.004117243407509068"
"3","5","true","22","0.0029408881482207625"
"6","5","true","19","0.0038231545926869915"
"2","5","true","51","0.0030389177531614546"
"4","5","true","25","0.010097049308891284"
"1","5","true","25","0.004117243407509068"
"1","5","true","26","0.004117243407509068"
"5","5","true","17","0.0037251249877462995"
"6","5","true","20","0.0038231545926869915"
"4","5","true","26","0.009508871679247133"
"2","5","true","52","0.0030389177531614546"
"1","5","true","27","0.004117243407509068"
"4","5","true","27","0.009606901284187825"
"6","5","true","21","0.0038231545926869915"
"2","5","true","53","0.0030389177531614546"
"1","5","true","28","0.004117243407509068"
"5","5","true","18","0.003921184197627684"
"4","5","true","28","0.008332516419958828"
"2","5","true","54","0.0030389177531614546"
"4","5","true","29","0.010097049308891284"
"6","5","true","22","0.0038231545926869915"
"5","5","true","19","0.004901480247034604"
"1","5","true","29","0.004117243407509068"
"2","5","true","55","0.0030389177531614546"
"4","5","true","30","0.010097049308891284"
"6","5","true","23","0.0038231545926869915"
"1","5","true","30","0.004117243407509068"
"4","5","true","31","0.010587197333594745"
"5","5","true","20","0.003921184197627684"
"2","5","true","56","0.0030389177531614546"
"6","5","true","24","0.0038231545926869915"
"1","5","true","31","0.004117243407509068"
"4","5","true","32","0.01029310851877267"
"6","5","true","25","0.0038231545926869915"
"2","5","true","57","0.0030389177531614546"
"5","5","true","21","0.0046073914322125285"
"1","5","true","32","0.004117243407509068"
"6","5","true","26","0.0038231545926869915"
"4","5","true","33","0.01166552298794236"
"2","5","true","58","0.0030389177531614546"
"5","5","true","22","0.004117243407509068"
"1","5","true","33","0.004117243407509068"
"6","5","true","27","0.0038231545926869915"
"4","5","true","34","0.011861582197823742"
"2","5","true","59","0.0030389177531614546"
"5","5","true","23","0.0050975394569159884"
"3","5","true","23","0.0029408881482207625"
"1","5","true","34","0.004117243407509068"
"6","5","true","28","0.0038231545926869915"
"2","5","true","60","0.0030389177531614546"
"4","5","true","35","0.01166552298794236"
"1","5","true","35","0.004117243407509068"
"3","5","true","24","0.0029408881482207625"
"5","5","true","24","0.004411332222331144"
"6","5","true","29","0.0038231545926869915"
"3","5","true","25","0.0029408881482207625"
"4","5","true","36","0.010489167728654054"
"2","5","true","61","0.0030389177531614546"
"1","5","true","36","0.004117243407509068"
"5","5","true","25","0.0059798059013822175"
"6","5","true","30","0.0038231545926869915"
"4","5","true","37","0.011959611802764435"
"3","5","true","26","0.0029408881482207625"
"2","5","true","62","0.0030389177531614546"
"1","5","true","37","0.004117243407509068"
"6","5","true","31","0.0038231545926869915"
"5","5","true","26","0.005293598666797373"
"4","5","true","38","0.010195078913831977"
"1","5","true","38","0.004117243407509068"
"3","5","true","27","0.0029408881482207625"
"2","5","true","63","0.0030389177531614546"
"6","5","true","32","0.0038231545926869915"
"5","5","true","27","0.005881776296441525"
"1","5","true","39","0.004117243407509068"
"3","5","true","28","0.0029408881482207625"
"4","5","true","39","0.011861582197823742"
"2","5","true","64","0.0030389177531614546"
"6","5","true","33","0.0038231545926869915"
"5","5","true","28","0.004411332222331144"
"1","5","true","40","0.004117243407509068"
"2","5","true","65","0.0030389177531614546"
"6","5","true","34","0.0038231545926869915"
"4","5","true","40","0.009802960494069209"
"3","5","true","29","0.0029408881482207625"
"1","5","true","41","0.004117243407509068"
"5","5","true","29","0.004509361827271836"
"6","5","true","35","0.0038231545926869915"
"2","5","true","66","0.0030389177531614546"
"1","5","true","42","0.004117243407509068"
"4","5","true","41","0.011273404568179591"
"3","5","true","30","0.0029408881482207625"
"6","5","true","36","0.0038231545926869915"
"2","5","true","67","0.0030389177531614546"
"4","5","true","42","0.012449759827467896"
"5","5","true","30","0.004313302617390452"
"1","5","true","43","0.004117243407509068"
"3","5","true","31","0.0029408881482207625"
"6","5","true","37","0.0038231545926869915"
"5","5","true","31","0.004117243407509068"
"1","5","true","44","0.004117243407509068"
"2","5","true","68","0.0030389177531614546"
"4","5","true","43","0.012351730222527203"
"6","5","true","38","0.0038231545926869915"
"3","5","true","32","0.0029408881482207625"
"1","5","true","45","0.004117243407509068"
"4","5","true","44","0.013037937457112047"
"2","5","true","69","0.0030389177531614546"
"6","5","true","39","0.0038231545926869915"
"3","5","true","33","0.0029408881482207625"
"5","5","true","32","0.0046073914322125285"
"6","5","true","40","0.0038231545926869915"
"3","5","true","34","0.0029408881482207625"
"2","5","true","70","0.0030389177531614546"
"1","5","true","46","0.004117243407509068"
"4","5","true","45","0.014900499950985198"
"5","5","true","33","0.0046073914322125285"
"6","5","true","41","0.0038231545926869915"
"4","5","true","46","0.013724144691696893"
"3","5","true","35","0.0029408881482207625"
"2","5","true","71","0.0030389177531614546"
"1","5","true","47","0.004117243407509068"
"6","5","true","42","0.0038231545926869915"
"4","5","true","47","0.014704440741103813"
"3","5","true","36","0.0029408881482207625"
"5","5","true","34","0.005293598666797373"
"2","5","true","72","0.0030389177531614546"
"1","5","true","48","0.004117243407509068"
"4","5","true","48","0.013430055876874816"
"6","5","true","43","0.0038231545926869915"
"2","5","true","73","0.0030389177531614546"
"5","5","true","35","0.004803450642093913"
"1","5","true","49","0.004117243407509068"
"1","5","true","50","0.004117243407509068"
"2","5","true","74","0.0030389177531614546"
"3","5","true","37","0.0029408881482207625"
"5","5","true","36","0.004313302617390452"
"6","5","true","44","0.0038231545926869915"
"4","5","true","49","0.015390647975688659"
"2","5","true","75","0.0030389177531614546"
"1","5","true","51","0.004117243407509068"
"3","5","true","38","0.0029408881482207625"
"5","5","true","37","0.004803450642093913"
"4","5","true","50","0.013430055876874816"
"6","5","true","45","0.0038231545926869915"
"1","5","true","52","0.004117243407509068"
"3","5","true","39","0.0029408881482207625"
"5","5","true","38","0.004509361827271836"
"4","5","true","51","0.01588079600039212"
"2","5","true","76","0.0030389177531614546"
"1","5","true","53","0.004117243407509068"
"3","5","true","40","0.0029408881482207625"
"6","5","true","46","0.0038231545926869915"
"5","5","true","39","0.004803450642093913"
"4","5","true","52","0.013037937457112047"
"2","5","true","77","0.0030389177531614546"
"1","5","true","54","0.004117243407509068"
"3","5","true","41","0.0029408881482207625"
"6","5","true","47","0.0038231545926869915"
"5","5","true","40","0.004999509851975297"
"4","5","true","53","0.013430055876874816"
"2","5","true","78","0.0030389177531614546"
"3","5","true","42","0.0029408881482207625"
"6","5","true","48","0.0038231545926869915"
"1","5","true","55","0.004117243407509068"
"4","5","true","54","0.012841878247230664"
