"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-Life.nlogo"
"1DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:08:49:746 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","10200","0","0"
"[run number]","initial-density","wrap?","lambda","[step]","count patches with [living?] / count patches"
"1","5","true","50","124","0.01823350651896873"
"1","5","true","50","125","0.01774335849426527"
"1","5","true","50","126","0.01833153612390942"
"1","5","true","50","127","0.017155180864621117"
"1","5","true","50","128","0.01784138809920596"
"1","5","true","50","129","0.017449269679443193"
"1","5","true","50","130","0.0173512400745025"
"1","5","true","50","131","0.01882168414861288"
"1","5","true","50","132","0.018429565728850114"
"1","5","true","50","133","0.018429565728850114"
"1","5","true","50","134","0.019115772963434956"
"1","5","true","50","135","0.017449269679443193"
"1","5","true","50","136","0.019998039407901187"
"1","5","true","50","137","0.01823350651896873"
"1","5","true","50","138","0.018919713753553575"
"1","5","true","50","139","0.017645328889324578"
"1","5","true","50","140","0.018429565728850114"
"1","5","true","50","141","0.019017743358494266"
"1","5","true","50","142","0.016959121654739732"
"1","5","true","50","143","0.01823350651896873"
"1","5","true","50","144","0.018527595333790805"
"1","5","true","50","145","0.019115772963434956"
"1","5","true","50","146","0.019998039407901187"
"1","5","true","50","147","0.019801980198019802"
"1","5","true","50","148","0.020488187432604648"
"1","5","true","50","149","0.022546809136359182"
"1","5","true","50","150","0.021762572296833645"
"1","5","true","50","151","0.021762572296833645"
"1","5","true","50","152","0.01931183217331634"
"1","5","true","50","153","0.01970395059307911"
"1","5","true","50","154","0.019507891383197726"
"1","5","true","50","155","0.01931183217331634"
"1","5","true","50","156","0.01931183217331634"
"1","5","true","50","157","0.020096069012841878"
"1","5","true","50","158","0.021762572296833645"
"1","5","true","50","159","0.021272424272130185"
"1","5","true","50","160","0.02166454269189295"
"1","5","true","50","161","0.02097833545730811"
"1","5","true","50","162","0.02156651308695226"
"1","5","true","50","163","0.0210763650622488"
"1","5","true","50","164","0.022546809136359182"
"1","5","true","50","165","0.02166454269189295"
"1","5","true","50","166","0.02382119400058818"
"1","5","true","50","167","0.025585726889520634"
"1","5","true","50","168","0.027448289383393786"
"1","5","true","50","169","0.027840407803156553"
"1","5","true","50","170","0.028330555827860014"
"1","5","true","50","171","0.028820703852563474"
"1","5","true","50","172","0.029310851877266935"
"1","5","true","50","173","0.027546318988334477"
"1","5","true","50","174","0.02911479266738555"
"1","5","true","50","175","0.026958141358690325"
"1","5","true","50","176","0.02921282227232624"
"1","5","true","50","177","0.026566022938927555"
"1","5","true","50","178","0.029899029506911087"
"1","5","true","50","179","0.0309773551612587"
"1","5","true","50","180","0.027742378198215862"
"1","5","true","50","181","0.02950691108714832"
"1","5","true","50","182","0.027546318988334477"
"1","5","true","50","183","0.027742378198215862"
"1","5","true","50","184","0.025487697284579943"
"1","5","true","50","185","0.024703460445054407"
"1","5","true","50","186","0.02440937163023233"
"1","5","true","50","187","0.025193608469757867"
"1","5","true","50","188","0.023134986766003333"
"1","5","true","50","189","0.025879815704342713"
"1","5","true","50","190","0.025389667679639252"
"1","5","true","50","191","0.0285266150377414"
"1","5","true","50","192","0.027350259778453092"
"1","5","true","50","193","0.025977845309283404"
"1","5","true","50","194","0.025977845309283404"
"1","5","true","50","195","0.024703460445054407"
"1","5","true","50","196","0.023233016370944024"
"1","5","true","50","197","0.024115282815410255"
"1","5","true","50","198","0.026075874914224095"
"1","5","true","50","199","0.023233016370944024"
"1","5","true","50","200","0.024115282815410255"
"2","5","true","50","0","0.050387216939515735"
"2","5","true","50","1","0.00794039800019606"
"2","5","true","50","2","0.004509361827271836"
"2","5","true","50","3","0.004019213802568375"
"2","5","true","50","4","0.004117243407509068"
"2","5","true","50","5","0.00421527301244976"
"2","5","true","50","6","0.004411332222331144"
"2","5","true","50","7","0.00421527301244976"
"2","5","true","50","8","0.005195569061856681"
"2","5","true","50","9","0.005195569061856681"
"2","5","true","50","10","0.005881776296441525"
"2","5","true","50","11","0.004999509851975297"
"2","5","true","50","12","0.006273894716204293"
"2","5","true","50","13","0.005783746691500833"
"2","5","true","50","14","0.0068620723458484465"
"2","5","true","50","15","0.007548279580433291"
"2","5","true","50","16","0.008724634839721596"
"2","5","true","50","17","0.005587687481619449"
"2","5","true","50","18","0.006175865111263602"
"2","5","true","50","19","0.007156161160670522"
"2","5","true","50","20","0.006175865111263602"
"2","5","true","50","21","0.0068620723458484465"
"2","5","true","50","22","0.006371924321144986"
"2","5","true","50","23","0.0073522203705519065"
"2","5","true","50","24","0.006666013135967062"
"2","5","true","50","25","0.008234486815018136"
"2","5","true","50","26","0.007548279580433291"
"2","5","true","50","27","0.008136457210077443"
"2","5","true","50","28","0.006666013135967062"
"2","5","true","50","29","0.006764042740907754"
"2","5","true","50","30","0.00656798353102637"
"2","5","true","50","31","0.006371924321144986"
"2","5","true","50","32","0.0068620723458484465"
"2","5","true","50","33","0.0068620723458484465"
"2","5","true","50","34","0.007548279580433291"
"2","5","true","50","35","0.007058131555729831"
"2","5","true","50","36","0.00656798353102637"
"2","5","true","50","37","0.007058131555729831"
"2","5","true","50","38","0.006764042740907754"
"2","5","true","50","39","0.007058131555729831"
"2","5","true","50","40","0.007254190765611215"
"2","5","true","50","41","0.006960101950789138"
"2","5","true","50","42","0.006764042740907754"
"2","5","true","50","43","0.00656798353102637"
"2","5","true","50","44","0.007058131555729831"
"2","5","true","50","45","0.006764042740907754"
"2","5","true","50","46","0.007842368395255367"
"2","5","true","50","47","0.0073522203705519065"
"2","5","true","50","48","0.007254190765611215"
"2","5","true","50","49","0.008136457210077443"
"2","5","true","50","50","0.00843054602489952"
"2","5","true","50","51","0.009999019703950594"
"2","5","true","50","52","0.008136457210077443"
"2","5","true","50","53","0.009606901284187825"
"2","5","true","50","54","0.008626605234780904"
"2","5","true","50","55","0.01029310851877267"
"2","5","true","50","56","0.00941084207430644"
"2","5","true","50","57","0.010195078913831977"
"2","5","true","50","58","0.010391138123713362"
"2","5","true","50","59","0.01078325654347613"
"2","5","true","50","60","0.01078325654347613"
"2","5","true","50","61","0.011469463778060974"
"2","5","true","50","62","0.011077345358298206"
"2","5","true","50","63","0.011567493383001667"
"2","5","true","50","64","0.01029310851877267"
"2","5","true","50","65","0.010489167728654054"
"2","5","true","50","66","0.010881286148416823"
"2","5","true","50","67","0.010097049308891284"
"2","5","true","50","68","0.009214782864425057"
"2","5","true","50","69","0.009704930889128516"
"2","5","true","50","70","0.008822664444662289"
"2","5","true","50","71","0.00892069404960298"
"2","5","true","50","72","0.009606901284187825"
"2","5","true","50","73","0.010097049308891284"
"2","5","true","50","74","0.010587197333594745"
"2","5","true","50","75","0.010685226938535438"
"2","5","true","50","76","0.010881286148416823"
"2","5","true","50","77","0.010097049308891284"
"2","5","true","50","78","0.010489167728654054"
"2","5","true","50","79","0.011273404568179591"
"2","5","true","50","80","0.011077345358298206"
"2","5","true","50","81","0.01029310851877267"
"2","5","true","50","82","0.011273404568179591"
"2","5","true","50","83","0.011273404568179591"
"2","5","true","50","84","0.010881286148416823"
"2","5","true","50","85","0.011959611802764435"
"2","5","true","50","86","0.010979315753357513"
"2","5","true","50","87","0.01225370061758651"
"2","5","true","50","88","0.013037937457112047"
"2","5","true","50","89","0.012547789432408587"
"2","5","true","50","90","0.013233996666993432"
"2","5","true","50","91","0.013332026271934125"
"2","5","true","50","92","0.012743848642289972"
"2","5","true","50","93","0.013822174296637584"
"2","5","true","50","94","0.012841878247230664"
"2","5","true","50","95","0.013233996666993432"
"2","5","true","50","96","0.013528085481815508"
"2","5","true","50","97","0.013037937457112047"
"2","5","true","50","98","0.014900499950985198"
"2","5","true","50","99","0.01450838153122243"
"2","5","true","50","100","0.015586707185570042"
"2","5","true","50","101","0.01548867758062935"
"2","5","true","50","102","0.016272914420154886"
"2","5","true","50","103","0.015684736790510734"
"2","5","true","50","104","0.01588079600039212"
"2","5","true","50","105","0.01499852955592589"
"2","5","true","50","106","0.015390647975688659"
"2","5","true","50","107","0.01597882560533281"
"2","5","true","50","108","0.016567003234976962"
"2","5","true","50","109","0.016763062444858347"
"2","5","true","50","110","0.017057151259680423"
"2","5","true","50","111","0.016959121654739732"
"2","5","true","50","112","0.017645328889324578"
"2","5","true","50","113","0.017057151259680423"
"2","5","true","50","114","0.015782766395451425"
"2","5","true","50","115","0.01499852955592589"
"2","5","true","50","116","0.015684736790510734"
"2","5","true","50","117","0.014802470346044505"
"2","5","true","50","118","0.016567003234976962"
"2","5","true","50","119","0.015292618370747966"
"2","5","true","50","120","0.016174884815214195"
"2","5","true","50","121","0.01588079600039212"
"2","5","true","50","122","0.015390647975688659"
"2","5","true","50","123","0.015194588765807274"
"2","5","true","50","124","0.015782766395451425"
"2","5","true","50","125","0.015292618370747966"
"2","5","true","50","126","0.016272914420154886"
"2","5","true","50","127","0.016272914420154886"
"2","5","true","50","128","0.017253210469561808"
"2","5","true","50","129","0.0160768552102735"
"2","5","true","50","130","0.017547299284383883"
"2","5","true","50","131","0.01686109204979904"
"2","5","true","50","132","0.01774335849426527"
"2","5","true","50","133","0.016272914420154886"
"2","5","true","50","134","0.017253210469561808"
"2","5","true","50","135","0.01597882560533281"
"2","5","true","50","136","0.018037447309087344"
"2","5","true","50","137","0.016567003234976962"
"2","5","true","50","138","0.015684736790510734"
"2","5","true","50","139","0.015782766395451425"
"2","5","true","50","140","0.01646897363003627"
"2","5","true","50","141","0.015292618370747966"
"2","5","true","50","142","0.01499852955592589"
"2","5","true","50","143","0.015782766395451425"
"2","5","true","50","144","0.015292618370747966"
"2","5","true","50","145","0.015782766395451425"
"2","5","true","50","146","0.014900499950985198"
"2","5","true","50","147","0.014704440741103813"
"2","5","true","50","148","0.014802470346044505"
"2","5","true","50","149","0.016174884815214195"
"2","5","true","50","150","0.01588079600039212"
