"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-Life.nlogo"
"1DLifeDensityWideSweep (wrapping OFF)"
"04/25/2025 14:24:43:705 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","10200","0","0"
"[run number]","initial-density","wrap?","lambda","[step]","count patches with [living?] / count patches"
"1","5","false","50","0","0.048132536025879816"
"1","5","false","50","1","0.006666013135967062"
"1","5","false","50","2","0.003921184197627684"
"1","5","false","50","3","0.003234976963042839"
"1","5","false","50","4","0.0029408881482207625"
"1","5","false","50","5","0.00235271051857661"
"1","5","false","50","6","0.001960592098813842"
"1","5","false","50","7","0.0018625624938731497"
"1","5","false","50","8","0.0016665032839917656"
"1","5","false","50","9","0.0016665032839917656"
"1","5","false","50","10","0.0016665032839917656"
"1","5","false","50","11","0.0016665032839917656"
"1","5","false","50","12","0.0016665032839917656"
"1","5","false","50","13","0.0016665032839917656"
"1","5","false","50","14","0.0016665032839917656"
"1","5","false","50","15","0.0016665032839917656"
"1","5","false","50","16","0.0016665032839917656"
"1","5","false","50","17","0.0016665032839917656"
"1","5","false","50","18","0.0016665032839917656"
"1","5","false","50","19","0.0016665032839917656"
"1","5","false","50","20","0.0016665032839917656"
"1","5","false","50","21","0.0016665032839917656"
"1","5","false","50","22","0.0016665032839917656"
"1","5","false","50","23","0.0016665032839917656"
"1","5","false","50","24","0.0016665032839917656"
"1","5","false","50","25","0.0016665032839917656"
"1","5","false","50","26","0.0016665032839917656"
"1","5","false","50","27","0.0016665032839917656"
"1","5","false","50","28","0.0016665032839917656"
"1","5","false","50","29","0.0016665032839917656"
"1","5","false","50","30","0.0016665032839917656"
"1","5","false","50","31","0.0016665032839917656"
"1","5","false","50","32","0.0016665032839917656"
"1","5","false","50","33","0.0016665032839917656"
"1","5","false","50","34","0.0016665032839917656"
"1","5","false","50","35","0.0016665032839917656"
"1","5","false","50","36","0.0016665032839917656"
"1","5","false","50","37","0.0016665032839917656"
"1","5","false","50","38","0.0016665032839917656"
"1","5","false","50","39","0.0016665032839917656"
"1","5","false","50","40","0.0016665032839917656"
"1","5","false","50","41","0.0016665032839917656"
"1","5","false","50","42","0.0016665032839917656"
"1","5","false","50","43","0.0016665032839917656"
"1","5","false","50","44","0.0016665032839917656"
"1","5","false","50","45","0.0016665032839917656"
"1","5","false","50","46","0.0016665032839917656"
"1","5","false","50","47","0.0016665032839917656"
"1","5","false","50","48","0.0016665032839917656"
"1","5","false","50","49","0.0016665032839917656"
"1","5","false","50","50","0.0016665032839917656"
"1","5","false","50","51","0.0016665032839917656"
"1","5","false","50","52","0.0016665032839917656"
"1","5","false","50","53","0.0016665032839917656"
"1","5","false","50","54","0.0016665032839917656"
"1","5","false","50","55","0.0016665032839917656"
"1","5","false","50","56","0.0016665032839917656"
"1","5","false","50","57","0.0016665032839917656"
"1","5","false","50","58","0.0016665032839917656"
"1","5","false","50","59","0.0016665032839917656"
"1","5","false","50","60","0.0016665032839917656"
"1","5","false","50","61","0.0016665032839917656"
"1","5","false","50","62","0.0016665032839917656"
"1","5","false","50","63","0.0016665032839917656"
"1","5","false","50","64","0.0016665032839917656"
"1","5","false","50","65","0.0016665032839917656"
"1","5","false","50","66","0.0016665032839917656"
"1","5","false","50","67","0.0016665032839917656"
"1","5","false","50","68","0.0016665032839917656"
"1","5","false","50","69","0.0016665032839917656"
"1","5","false","50","70","0.0016665032839917656"
"1","5","false","50","71","0.0016665032839917656"
"1","5","false","50","72","0.0016665032839917656"
"1","5","false","50","73","0.0016665032839917656"
"1","5","false","50","74","0.0016665032839917656"
"1","5","false","50","75","0.0016665032839917656"
"1","5","false","50","76","0.0016665032839917656"
"1","5","false","50","77","0.0016665032839917656"
"1","5","false","50","78","0.0016665032839917656"
"1","5","false","50","79","0.0016665032839917656"
"1","5","false","50","80","0.0016665032839917656"
"1","5","false","50","81","0.0016665032839917656"
"1","5","false","50","82","0.0016665032839917656"
"1","5","false","50","83","0.0016665032839917656"
"1","5","false","50","84","0.0016665032839917656"
"1","5","false","50","85","0.0016665032839917656"
"1","5","false","50","86","0.0016665032839917656"
"1","5","false","50","87","0.0016665032839917656"
"1","5","false","50","88","0.0016665032839917656"
"1","5","false","50","89","0.0016665032839917656"
"1","5","false","50","90","0.0016665032839917656"
"1","5","false","50","91","0.0016665032839917656"
"1","5","false","50","92","0.0016665032839917656"
"1","5","false","50","93","0.0016665032839917656"
"1","5","false","50","94","0.0016665032839917656"
"1","5","false","50","95","0.0016665032839917656"
"1","5","false","50","96","0.0016665032839917656"
"1","5","false","50","97","0.0016665032839917656"
"1","5","false","50","98","0.0016665032839917656"
"1","5","false","50","99","0.0016665032839917656"
"1","5","false","50","100","0.0016665032839917656"
"1","5","false","50","101","0.0016665032839917656"
"1","5","false","50","102","0.0016665032839917656"
"1","5","false","50","103","0.0016665032839917656"
"1","5","false","50","104","0.0016665032839917656"
"1","5","false","50","105","0.0016665032839917656"
"1","5","false","50","106","0.0016665032839917656"
"1","5","false","50","107","0.0016665032839917656"
"1","5","false","50","108","0.0016665032839917656"
"1","5","false","50","109","0.0016665032839917656"
"1","5","false","50","110","0.0016665032839917656"
"1","5","false","50","111","0.0016665032839917656"
"1","5","false","50","112","0.0016665032839917656"
"1","5","false","50","113","0.0016665032839917656"
"1","5","false","50","114","0.0016665032839917656"
"1","5","false","50","115","0.0016665032839917656"
"1","5","false","50","116","0.0016665032839917656"
"1","5","false","50","117","0.0016665032839917656"
"1","5","false","50","118","0.0016665032839917656"
"1","5","false","50","119","0.0016665032839917656"
"1","5","false","50","120","0.0016665032839917656"
"1","5","false","50","121","0.0016665032839917656"
"1","5","false","50","122","0.0016665032839917656"
"1","5","false","50","123","0.0016665032839917656"
"1","5","false","50","124","0.0016665032839917656"
"1","5","false","50","125","0.0016665032839917656"
"1","5","false","50","126","0.0016665032839917656"
"1","5","false","50","127","0.0016665032839917656"
"1","5","false","50","128","0.0016665032839917656"
"1","5","false","50","129","0.0016665032839917656"
"1","5","false","50","130","0.0016665032839917656"
"1","5","false","50","131","0.0016665032839917656"
"1","5","false","50","132","0.0016665032839917656"
"1","5","false","50","133","0.0016665032839917656"
"1","5","false","50","134","0.0016665032839917656"
"1","5","false","50","135","0.0016665032839917656"
"1","5","false","50","136","0.0016665032839917656"
"1","5","false","50","137","0.0016665032839917656"
"1","5","false","50","138","0.0016665032839917656"
"1","5","false","50","139","0.0016665032839917656"
"1","5","false","50","140","0.0016665032839917656"
"1","5","false","50","141","0.0016665032839917656"
"1","5","false","50","142","0.0016665032839917656"
"1","5","false","50","143","0.0016665032839917656"
"1","5","false","50","144","0.0016665032839917656"
"1","5","false","50","145","0.0016665032839917656"
"1","5","false","50","146","0.0016665032839917656"
"1","5","false","50","147","0.0016665032839917656"
"1","5","false","50","148","0.0016665032839917656"
"1","5","false","50","149","0.0016665032839917656"
"1","5","false","50","150","0.0016665032839917656"
"1","5","false","50","151","0.0016665032839917656"
"1","5","false","50","152","0.0016665032839917656"
"1","5","false","50","153","0.0016665032839917656"
"1","5","false","50","154","0.0016665032839917656"
"1","5","false","50","155","0.0016665032839917656"
"1","5","false","50","156","0.0016665032839917656"
"1","5","false","50","157","0.0016665032839917656"
"1","5","false","50","158","0.0016665032839917656"
"1","5","false","50","159","0.0016665032839917656"
"1","5","false","50","160","0.0016665032839917656"
"1","5","false","50","161","0.0016665032839917656"
"1","5","false","50","162","0.0016665032839917656"
"1","5","false","50","163","0.0016665032839917656"
"1","5","false","50","164","0.0016665032839917656"
"1","5","false","50","165","0.0016665032839917656"
"1","5","false","50","166","0.0016665032839917656"
"1","5","false","50","167","0.0016665032839917656"
"1","5","false","50","168","0.0016665032839917656"
"1","5","false","50","169","0.0016665032839917656"
"1","5","false","50","170","0.0016665032839917656"
"1","5","false","50","171","0.0016665032839917656"
"1","5","false","50","172","0.0016665032839917656"
"1","5","false","50","173","0.0016665032839917656"
"1","5","false","50","174","0.0016665032839917656"
"1","5","false","50","175","0.0016665032839917656"
"1","5","false","50","176","0.0016665032839917656"
"1","5","false","50","177","0.0016665032839917656"
"1","5","false","50","178","0.0016665032839917656"
"1","5","false","50","179","0.0016665032839917656"
"1","5","false","50","180","0.0016665032839917656"
"1","5","false","50","181","0.0016665032839917656"
"1","5","false","50","182","0.0016665032839917656"
"1","5","false","50","183","0.0016665032839917656"
"1","5","false","50","184","0.0016665032839917656"
