"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:26:57:414 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"[run number]","initial-density","wrap?","update-1d?","[step]","count patches with [living?] / count patches"
"5","5","true","false","25","0.004806305873305777"
"4","5","true","false","19","0.009324233394213208"
"3","5","true","false","15","0.003845044698644622"
"2","5","true","false","15","0.006824954340094204"
"4","5","true","false","20","0.010381620686340479"
"1","5","true","false","22","0.006824954340094204"
"6","5","true","false","28","0.004037296933576853"
"5","5","true","false","26","0.004710179755839662"
"3","5","true","false","16","0.003845044698644622"
"4","5","true","false","21","0.010189368451408248"
"5","5","true","false","27","0.004902431990771893"
"6","5","true","false","29","0.004037296933576853"
"1","5","true","false","23","0.0063443237527636255"
"2","5","true","false","16","0.007786215514755359"
"4","5","true","false","22","0.010958377391137171"
"6","5","true","false","30","0.004037296933576853"
"1","5","true","false","24","0.0073055849274247815"
"5","5","true","false","28","0.005094684225704124"
"3","5","true","false","17","0.003845044698644622"
"1","5","true","false","25","0.006632702105161973"
"6","5","true","false","31","0.004037296933576853"
"2","5","true","false","17","0.007497837162357013"
"5","5","true","false","29","0.005767567047966933"
"4","5","true","false","23","0.011150629626069403"
"1","5","true","false","26","0.008170719984619821"
"3","5","true","false","18","0.003845044698644622"
"6","5","true","false","32","0.004037296933576853"
"5","5","true","false","30","0.005094684225704124"
"2","5","true","false","18","0.0073055849274247815"
"4","5","true","false","24","0.011631260213399981"
"1","5","true","false","27","0.007497837162357013"
"3","5","true","false","19","0.003845044698644622"
"6","5","true","false","33","0.004037296933576853"
"5","5","true","false","31","0.005767567047966933"
"4","5","true","false","25","0.012208016918196674"
"2","5","true","false","19","0.009035855041814861"
"1","5","true","false","28","0.008074593867153706"
"6","5","true","false","34","0.004037296933576853"
"3","5","true","false","20","0.003845044698644622"
"5","5","true","false","32","0.0052869364606363545"
"4","5","true","false","26","0.011631260213399981"
"6","5","true","false","35","0.004037296933576853"
"2","5","true","false","20","0.008074593867153706"
"3","5","true","false","21","0.003845044698644622"
"1","5","true","false","29","0.006632702105161973"
"4","5","true","false","27","0.011727386330866096"
"6","5","true","false","36","0.004037296933576853"
"2","5","true","false","21","0.009131981159280976"
"3","5","true","false","22","0.003845044698644622"
"4","5","true","false","28","0.010477746803806594"
"1","5","true","false","30","0.006728828222628088"
"6","5","true","false","37","0.004037296933576853"
"2","5","true","false","22","0.008362972219552052"
"3","5","true","false","23","0.003845044698644622"
"4","5","true","false","29","0.012208016918196674"
"1","5","true","false","31","0.006536575987695857"
